family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v6 Noise by Gabox	mdx:mel_band_roformer_inst_fullness_v6_noise_gabox	MelBand Roformer — Instrumental Fullness v6 Noise · Gabox	mel_band_roformer_inst_fullness_v6_noise_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v6 by Gabox	mdx:mel_band_roformer_inst_fullness_v6_gabox	MelBand Roformer — Instrumental Fullness v6 · Gabox	mel_band_roformer_inst_fullness_v6_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v7 Noise by Gabox	mdx:mel_band_roformer_inst_fullness_v7_noise_gabox	MelBand Roformer — Instrumental Fullness v7 Noise · Gabox	mel_band_roformer_inst_fullness_v7_noise_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v7 by Gabox	mdx:mel_band_roformer_inst_fullness_v7_gabox	MelBand Roformer — Instrumental Fullness v7 · Gabox	mel_band_roformer_inst_fullness_v7_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness v8 by Gabox	mdx:mel_band_roformer_inst_fullness_v8_gabox	MelBand Roformer — Instrumental Fullness v8 · Gabox	mel_band_roformer_inst_fullness_v8_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental Fullness vX by Gabox	mdx:mel_band_roformer_inst_fullness_vX_gabox	MelBand Roformer — Instrumental Fullness vX · Gabox	mel_band_roformer_inst_fullness_vX_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | instrumental Metal preview by Mesk	mdx:melband_roformer_inst_metal_prev_by_mesk	MelBand Roformer — Instrumental Metal Preview · Mesk	melband_roformer_inst_metal_prev_by_mesk.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental v1 by Gabox	mdx:mel_band_roformer_inst_v1_gabox	MelBand Roformer — Instrumental v1 · Gabox	mel_band_roformer_inst_v1_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental v2 by Gabox	mdx:mel_band_roformer_inst_v2_gabox	MelBand Roformer — Instrumental v2 · Gabox	mel_band_roformer_inst_v2_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental v3 by Gabox	mdx:mel_band_roformer_inst_v3_gabox	MelBand Roformer — Instrumental v3 · Gabox	mel_band_roformer_inst_v3_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental by becruily	mdx:mel_band_roformer_instrumental_becruily	MelBand Roformer — Instrumental · Becruily	mel_band_roformer_instrumental_becruily.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Instrumental by Gabox	mdx:mel_band_roformer_instrumental_gabox	MelBand Roformer — Instrumental · Gabox	mel_band_roformer_instrumental_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke by Gabox (beta)	mdx:mel_band_roformer_karaoke_gabox	MelBand Roformer — Karaoke Beta · Gabox	mel_band_roformer_karaoke_gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | BVE by Gonza	mdx:model_MelBand-Roformer_BVE_by-Gonza	MelBand Roformer — Karaoke BVE · Gonza	model_MelBand-Roformer_BVE_by-Gonza.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke Fusion Aggressive v2 by Gonza	mdx:model_MelBand-Roformer_Karaoke_Fusion_Aggressive_v2_by-Gonza	MelBand Roformer — Karaoke Fusion Aggressive v2 · Gonza	model_MelBand-Roformer_Karaoke_Fusion_Aggressive_v2_by-Gonza.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke Fusion Aggressive by Gonza	mdx:model_MelBand-Roformer_Karaoke_Fusion_Aggressive_by-Gonza	MelBand Roformer — Karaoke Fusion Aggressive · Gonza	model_MelBand-Roformer_Karaoke_Fusion_Aggressive_by-Gonza.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke Fusion Standard by Gonza	mdx:model_MelBand-Roformer_Karaoke_Fusion_Standard_by-Gonza	MelBand Roformer — Karaoke Fusion Standard · Gonza	model_MelBand-Roformer_Karaoke_Fusion_Standard_by-Gonza.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke Fusion Total by Gonza.ckpt	mdx:model_MelBand-Roformer_Karaoke_Fusion_Total_by-Gonza	MelBand Roformer — Karaoke Fusion Total · Gonza	model_MelBand-Roformer_Karaoke_Fusion_Total_by-Gonza.ckpt			clean
